GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
meethere,ecnu.testing.meethere.controller,AdminController,30,6,4,0,7,3,3,1,1,1
meethere,ecnu.testing.meethere.controller,MessageController,35,6,0,0,8,3,6,1,6,1
meethere,ecnu.testing.meethere.controller,NewsController,81,9,0,0,11,4,5,1,5,1
meethere,ecnu.testing.meethere.controller,UserController,55,6,4,0,12,3,8,1,6,1
meethere,ecnu.testing.meethere.controller,OrderController,34,6,0,0,7,3,6,1,6,1
meethere,ecnu.testing.meethere.controller,StadiumController,9,6,0,0,2,3,2,1,2,1
meethere,ecnu.testing.meethere.model,Order,46,25,1,1,17,11,9,6,8,6
meethere,ecnu.testing.meethere.model,News,43,28,4,2,13,11,9,6,6,6
meethere,ecnu.testing.meethere.model,Message,29,32,1,1,10,14,5,8,4,8
meethere,ecnu.testing.meethere.model,User,27,34,3,3,8,12,6,7,3,7
meethere,ecnu.testing.meethere.model,Admin,46,0,4,0,16,0,10,0,8,0
meethere,ecnu.testing.meethere.model,Stadium,41,35,4,4,12,12,10,6,6,6
meethere,ecnu.testing.meethere.service,MessageServiceImpl,51,57,4,2,9,14,5,7,2,7
meethere,ecnu.testing.meethere.service,AdminServiceImpl,63,3,6,0,16,1,10,1,7,1
meethere,ecnu.testing.meethere.service,NewsServiceImpl,26,40,1,1,6,10,3,6,2,6
meethere,ecnu.testing.meethere.service,UserServiceImpl,119,54,12,4,25,14,14,6,6,6
meethere,ecnu.testing.meethere.service,StadiumServiceImpl,76,12,8,0,17,3,9,3,5,3
meethere,ecnu.testing.meethere.service,OrderServiceImpl,228,75,19,5,46,20,15,8,3,8
meethere,ecnu.testing.meethere.util,Result,21,12,0,0,9,5,6,1,6,1
meethere,ecnu.testing.meethere.util,MessageInfo,68,0,0,0,26,0,13,0,13,0
meethere,ecnu.testing.meethere.util,ResultCode,9,67,0,0,0,9,2,2,2,2
meethere,ecnu.testing.meethere.util,ResultFactory,3,23,0,0,1,4,1,4,1,4
meethere,ecnu.testing.meethere.util,MyCorsConfig,0,8,0,0,0,2,0,2,0,2
meethere,ecnu.testing.meethere.util,MyCorsConfig.new WebMvcConfigurerAdapter() {...},0,34,0,0,0,7,0,2,0,2
meethere,ecnu.testing.meethere.util,DateUtils,40,0,2,0,15,0,3,0,2,0
meethere,ecnu.testing.meethere.util,OrderInfo,138,0,0,0,37,0,18,0,18,0
meethere,ecnu.testing.meethere,MeetHereApplication,15,3,0,0,3,1,2,1,2,1
